2 ,11,11,11,11,11,11,11,11,11,11,11,11,36,35,11,11,11,11,11,11,11,11,11,11,11,11,1 
4 ,38,38,38,38,38,38,38,38,38,38,38,38,22,21,38,38,38,38,38,38,38,38,38,38,38,38,3 
4 ,38,20,18,18,19,38,20,18,18,18,19,38,22,21,38,20,18,18,18,19,38,20,18,18,19,38,3 
4 ,40,21,0 ,0 ,22,38,21,0 ,0 ,0 ,22,38,22,21,38,21,0 ,0 ,0 ,22,38,21,0 ,0 ,22,40,3 
4 ,38,24,13,13,23,38,24,13,13,13,23,38,24,23,38,24,13,13,13,23,38,24,13,13,23,38,3 
4 ,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,3 
4 ,38,20,18,18,19,38,20,19,38,20,18,18,18,18,18,18,19,38,20,19,38,20,18,18,19,38,3 
4 ,38,24,13,13,23,38,22,21,38,24,13,13,19,20,13,13,23,38,22,21,38,24,13,13,23,38,3 
4 ,38,38,38,38,38,38,22,21,38,38,38,38,22,21,38,38,38,38,22,21,38,38,38,38,38,38,3 
6 ,12,12,12,12,19,38,22,24,13,13,19,0 ,22,21,0 ,20,13,13,23,21,38,20,12,12,12,12,5 
0 ,0 ,0 ,0 ,0 ,4 ,38,22,20,18,18,23,0 ,24,23,0 ,24,18,18,19,21,38,3 ,0 ,0 ,0 ,0 ,0
0 ,0 ,0 ,0 ,0 ,4 ,38,22,21,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,22,21,38,3 ,0 ,0 ,0 ,0 ,0
0 ,0 ,0 ,0 ,0 ,4 ,38,22,21,0 ,26,12,12,37,37,12,12,25,0 ,22,21,38,3 ,0 ,0 ,0 ,0 ,0
11,11,11,11,11,23,38,24,23,0 ,3 ,-1,-1,0 ,-1,-1,-1,4 ,0 ,24,23,38,24,11,11,11,11,11
0 ,0 ,0 ,0 ,0 ,0 ,38,0 ,0 ,0 ,3 ,-1,0 ,0 ,0 ,-1,-1,4 ,0 ,0 ,0 ,38,0 ,0 ,0 ,0 ,0 ,0
12,12,12,12,12,19,38,20,19,0 ,3 ,-1,-1,-1,-1,-1,-1,4 ,0 ,20,19,38,20,12,12,12,12,12
0 ,0 ,0 ,0 ,0 ,4 ,38,22,21,0 ,28,11,11,11,11,11,11,27,0 ,22,21,38,3 ,0 ,0 ,0 ,0 ,0 
0 ,0 ,0 ,0 ,0 ,4 ,38,22,21,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,22,21,38,3 ,0 ,0 ,0 ,0 ,0 
0 ,0 ,0 ,0 ,0 ,4 ,38,22,21,0 ,20,18,18,18,18,18,18,19,0 ,22,21,38,3 ,0 ,0 ,0 ,0 ,0 
2 ,11,11,11,11,23,38,24,23,0 ,24,13,13,19,20,13,13,23,0 ,24,23,38,24,11,11,11,11,1 
4 ,38,38,38,38,38,38,38,38,38,38,38,38,22,21,38,38,38,38,38,38,38,38,38,38,38,38,3 
4 ,38,20,18,18,19,38,20,13,13,13,19,38,22,21,38,20,13,13,13,19,38,20,18,18,19,38,3 
4 ,40,24,13,19,22,38,24,18,18,18,23,38,24,23,38,24,18,18,18,23,38,21,20,13,23,40,3 
4 ,38,38,38,21,22,38,38,38,38,38,38,38,0 ,0 ,38,38,38,38,38,38,38,21,22,38,38,38,3 
8 ,13,19,38,21,22,38,20,19,38,20,18,18,18,18,18,18,19,38,20,19,38,21,22,38,20,13,7 
10,18,23,38,24,23,38,21,22,38,24,13,13,19,20,13,13,23,38,21,22,38,24,23,38,24,18,9 
4 ,38,38,38,38,38,38,21,22,38,38,38,38,22,21,38,38,38,38,21,22,38,38,38,38,38,38,3 
4 ,38,20,18,18,18,18,23,24,18,18,19,38,22,21,38,20,18,18,23,24,18,18,18,18,19,38,3 
4 ,38,24,13,13,13,13,13,13,13,13,23,38,24,23,38,24,13,13,13,13,13,13,13,13,23,38,3 
4 ,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,3 
6 ,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,5 
